id;nombre;categoria;precio;imagen
7501059273269;NESCAFE D GUSTO LATTE MACCHIATO X 16CAPS;;727.000;
7501059273283;NESCAFE D GUSTO CHOCOCINO X 16CAPS;;249.000;
7501059275539;CAJA NESCAFE CAPPUCCINO X 6U;;325.000;
7501059292529;NESCAFE CAPPUCCINO X 20GR;;55.000;
751;TORTA MARMOLADA ABUELA ELVIRA;;143.000;
754697490025;AZUCAR MATDULC X 1KG;;89.000;
754697524348;AZUCAR LA ESTRELLA X 1KG;;240.000;
759;SANDWICH MAXIMIGA JAMON TOMATE Y HUEVO;;3640.000;
760;BUDIN ABUELA ELVIRA CHOCO/MARMOLADO;;1370.000;
7613031526406;NESCAFE D GUSTO ESPRESSO INTENSO X 16CAPS;;377.000;
7613032396350;NESCAFE D GUSTO CORTADO X 16CAPS;;228.000;
7613033011481;LECHE EN POLVO NIDO DIA A DIA X 670;;23.582;
7613033157783;NESCAFE D GUSTO NESQUIK X 16U;;377.000;
7613033321214;LECHE NIDO + NUTRICION BOLSA X 400 GR;;22.009;
7613033648564;NESTUM DULCE DE LECHE X 200 GR;;18.000;
7613033648588;NESTUM ARROZ MI 1 ER CEREAL X 200 GR;;18.000;
7613033649660;NESTUM 5 CEREALES X 200 GR;;18.000;
7613033649707;NESTUM TRIGO CON MIEL X 200 GR;;40.000;
7613033650543;NESTUM TRIGO CON FRUTAS X 200 GR;;40.000;
7613033678172;NESQUIK NUEVO ENVASE X 360 GR;;16.000;
7613034191182;NESTUM ZAPALLO Y ZANAHORIA + 6 MESES;;70.000;
7613034426710;NESTUM NESTLE P/TOMAR DD LECHE X 400 GR;;52.000;
7613034426734;NESTUM NESTLE P/TOMAR VAINILLA X 400 GR;;54.000;
7613034428158;NESTUM C/MIEL NESTLE X 200 GR;;40.000;
7613034428189;NESTUM CON LECHE X 350 GR;;58.000;
7613034428226;NESTUM 5 CEREALES C/HIERRO X 200 GR;;26.000;
7613034428271;NESTUM NESTLE ARROZ X 200GR;;41.000;
7613034428318;NESTUM C FRUTAS NESTLE X 200 GR;;40.000;
7613034452092;LECHE NIDO FOTIGROW LATA X 800 GR;;110.000;
7613035068353;NESCAFE DOLCA FCO X 50GR;;114.000;
7613035068377;NESCAFE DOLCA CLASICO X 100 GR;;211.000;
7613037311624;NESTUM MULTICEREAL X 125GR;;95.000;
7613287260376;NESCAFE DOLCA CAPPUCCINO DP X 125GR;;167.000;
7613287292896;NESCAFE DOLCA SUAVE X 100 GR;;310.000;
7613287850379;NESQUIK X 360 GR;;3720.000;
7622201464882;POLVO PARA HORNEAR ROYAL X 50 GR;;1505.000;
7622201682026;JUGO CLIGHT LIMONADA ROSA X 7.5GR;;480.000;
7622201702625;JUGO CLIGHT ANANÁ X 7GR;;330.000;
7622201702656;JUGO CLIGHT LIMONADA  X 8 GR;;480.000;
7622201702687;JUGO CLIGHT NARANJA-MANGO X 7GR;;480.000;
7622201702717;JUGO CLIGHT NARANJA-DURAZNO 7.5GR;;480.000;
7622201703080;JUGO CLIGHT MANZANA DELICIOSA X 7GR;;480.000;
7622201703110;JUGO CLIGHT NARANJA X 8G;;480.000;
7622201703141;JUGO CLIGHT NARANJA DULCE X 7.5GR;;480.000;
7622201703172;JUGO CLIGHT POMELO ROSADO X 8GR;;300.000;
7622201703202;JUGO CLIGHT PERA X 7GR;;480.000;
7622201703233;JUGO CLIGHT POMELO AMARILLO X 8GR;;480.000;
7622201704148;JUGO CLIGHT MANDARINA X 8GR;;480.000;
7622201704551;JUGO CLIGHT STEVIA NARANJA  X 9.5GR;;85.000;
7622201704612;JUGO CLIGHT STEVIA MANZANA X 7.5GR;;290.000;
7622201704643;POSTRE ROYAL VAINILLA X 75 GR;;1120.000;
7622201705169;POSTRE ROYAL CHOCOLATE X 65 GR;;1120.000;
7622201705268;FLAN ROYAL VAINILLA X 60 GR;;1150.000;
7622201705961;JUGO TANG NARANJA X 15GR;;450.000;
